Website,Length,Protocol,Info
github.csv,66,TCP,56542  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
github.csv,66,TCP,"443  >  56542 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
github.csv,54,TCP,56542  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0
github.csv,712,TLSv1.3,Client Hello (SNI=github.com)
github.csv,1490,TLSv1.3,"Server Hello, Change Cipher Spec, Application Data"
github.csv,1490,TCP,"443  >  56542 [PSH, ACK] Seq=1437 Ack=659 Win=67584 Len=1436 [TCP segment of a reassembled PDU]"
github.csv,674,TLSv1.3,"Application Data, Application Data, Application Data"
github.csv,54,TCP,56542  >  443 [ACK] Seq=659 Ack=2873 Win=132096 Len=0
github.csv,54,TCP,56542  >  443 [ACK] Seq=659 Ack=3493 Win=131328 Len=0
github.csv,118,TLSv1.3,"Change Cipher Spec, Application Data"
github.csv,224,TLSv1.3,Application Data
github.csv,605,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=3493 Ack=1444 Win=69632 Len=0
github.csv,133,TLSv1.3,Application Data
github.csv,133,TLSv1.3,Application Data
github.csv,118,TLSv1.3,Application Data
github.csv,54,TCP,56542  >  443 [ACK] Seq=1444 Ack=3651 Win=131328 Len=0
github.csv,85,TLSv1.3,Application Data
github.csv,92,TCP,443  >  56542 [ACK] Seq=3715 Ack=1475 Win=69632 Len=0
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
github.csv,1490,TLSv1.3,Application Data
