Website,Time,Length,Protocol,Info
0,5.869593,66,1,4
0,5.881211,66,1,1
0,5.887175,54,1,6
0,5.887292,712,0,12
0,5.902131,1490,0,8
0,5.902868,1490,1,0
0,5.903112,674,0,10
0,5.907303,54,1,6
0,5.953255,54,1,6
0,5.998793,118,0,9
0,5.998882,224,0,15
0,5.998912,605,0,15
0,6.012738,92,1,6
0,6.012738,133,0,15
0,6.013636,133,0,15
0,6.013636,118,0,15
0,6.018841,54,1,6
0,6.018939,85,0,15
0,6.078752,92,1,6
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.279853,1490,0,15
0,6.286516,54,1,6
0,6.286664,54,1,6
0,6.286694,54,1,6
0,6.286715,54,1,6
0,6.286739,54,1,6
0,6.301105,1490,0,15
0,6.301105,1490,0,15
0,6.301105,1490,0,15
0,6.307582,54,1,6
0,6.310473,1490,0,15
0,6.310473,1490,0,11
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.310473,1490,0,15
0,6.317429,54,1,6
0,6.317515,54,1,6
0,6.317545,54,1,6
0,6.317579,54,1,6
0,6.317605,54,1,6
0,6.317631,54,1,6
0,6.317661,54,1,6
0,6.317689,54,1,6
0,6.317716,54,1,6
0,6.32045,1490,0,15
0,6.323169,1490,0,15
0,6.326499,1490,0,15
0,6.326499,1490,0,15
0,6.328721,1490,0,11
0,6.328721,1490,0,11
0,6.329073,1490,0,15
0,6.329742,54,1,6
0,6.33235,1490,0,15
0,6.33235,1490,0,15
0,6.33235,1490,0,15
0,6.33235,1490,0,15
0,6.33235,1490,0,15
0,6.33235,1490,0,15
0,6.332608,1490,0,15
0,6.332608,154,0,15
0,6.333799,54,1,6
0,6.333927,54,1,6
0,6.338841,54,1,6
0,6.338934,54,1,6
0,6.338966,54,1,6
0,6.338992,54,1,6
0,6.391892,54,1,6
0,6.549474,795,0,15
0,6.551451,187,0,15
0,6.551513,202,0,15
0,6.551528,186,0,15
0,6.55154,184,0,15
0,6.56036,92,1,6
0,6.564731,92,1,6
0,6.565794,92,1,6
0,6.565794,92,1,6
0,6.57867,158,0,15
0,6.593053,92,1,6
0,6.594479,1490,0,15
0,6.594479,1490,0,15
0,6.594479,1262,0,15
0,6.59932,54,1,6
0,6.625878,1490,0,15
0,6.626261,1490,0,15
0,6.626636,1270,0,15
0,6.630569,54,1,6
0,6.630577,54,1,6
0,6.63206,1490,0,15
