Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
github.csv,1,712,1,712,0,0,16.763719000000002,339,0
github.csv,1,718,1,718,0,0,10.784664,532,0
github.csv,1,889,1,889,0,0,4.927568999999998,1443,0
github.csv,1,712,1,712,0,0,13.479684,422,0
github.csv,1,718,1,718,0,0,12.706806999999998,452,0
github.csv,1,712,1,712,0,0,15.902385999999993,358,0
github.csv,1,718,1,718,0,0,15.093498999999994,380,0
github.csv,1,712,1,712,0,0,13.034244,437,0
github.csv,1,718,1,718,0,0,12.256094999999988,468,0
github.csv,1,712,1,712,0,0,13.554620999999996,420,0
github.csv,1,718,1,718,0,0,12.845026000000018,447,0
github.csv,1,712,1,712,0,0,19.338978999999995,294,0
github.csv,1,718,1,718,0,0,7.294511999999997,787,0
github.csv,1,889,1,889,0,0,0.6164320000000032,11537,0
github.csv,1,889,1,889,0,0,10.257296999999994,693,0
github.csv,1,712,1,712,0,0,1.1507719999999892,4949,0
github.csv,1,712,1,712,0,0,26.873635000000007,211,0
github.csv,1,718,1,718,0,0,1.348986999999994,4258,0
github.csv,1,889,1,889,0,0,2.864512999999988,2482,0
github.csv,1,889,1,889,0,0,18.578779,382,0
github.csv,1,712,1,712,0,0,24.652612000000005,231,0
github.csv,1,718,1,718,0,0,23.789401999999995,241,0
github.csv,1,712,1,712,0,0,37.52038600000003,151,0
github.csv,1,718,1,718,0,0,2.9012839999999755,1979,0
github.csv,1,889,1,889,0,0,33.65187199999997,211,0
github.csv,1,712,1,712,0,0,26.09040899999997,218,0
github.csv,1,718,1,718,0,0,25.333514999999977,226,0
github.csv,1,712,1,712,0,0,36.00512599999996,158,0
github.csv,1,718,1,718,0,0,28.44335099999995,201,0
github.csv,1,889,1,889,0,0,6.678014999999959,1064,0
github.csv,1,712,1,712,0,0,9.822361,579,0
github.csv,1,718,1,718,0,0,9.112008000000005,630,0
github.csv,1,712,1,712,0,0,35.732087999999976,159,0
github.csv,1,718,1,718,0,0,34.96976799999999,164,0
github.csv,1,712,1,712,0,0,29.56603700000005,192,0
github.csv,1,718,1,718,0,0,28.83526500000005,199,0
github.csv,1,712,1,712,0,0,6.337829000000056,898,0
github.csv,1,718,1,718,0,0,2.5064780000000155,2291,0
github.csv,1,889,1,889,0,0,2.7928419999999505,2546,0
github.csv,1,712,1,712,0,0,9.888978000000066,575,0
github.csv,1,718,1,718,0,0,9.187144999999989,625,0
github.csv,1,712,1,712,0,0,14.708987999999977,387,0
github.csv,1,718,1,718,0,0,13.897301999999968,413,0
github.csv,1,712,1,712,0,0,31.82087200000001,179,0
github.csv,1,718,1,718,0,0,32.92789599999992,174,0
github.csv,1,712,1,712,0,0,30.160575999999992,188,0
github.csv,1,883,1,883,0,0,20.65765599999997,341,0
github.csv,1,889,1,889,0,0,20.02320099999997,355,0
github.csv,1,712,1,712,0,0,11.449813000000065,497,0
github.csv,1,718,1,718,0,0,10.65437499999996,539,0
github.csv,1,712,1,712,0,0,38.58935799999995,147,0
github.csv,1,718,1,718,0,0,56.49881700000015,101,0
github.csv,1,883,1,883,0,0,11.632295999999997,607,0
github.csv,1,712,1,712,0,0,37.92432800000006,150,0
github.csv,1,718,1,718,0,0,82.89578100000017,69,0
github.csv,1,883,1,883,0,0,21.667715000000044,326,0
github.csv,1,712,1,712,0,0,62.381754999999885,91,0
github.csv,1,718,1,718,0,0,61.49749400000019,93,0
github.csv,1,712,1,712,0,0,28.672665999999936,198,0
github.csv,1,718,1,718,0,0,27.99228599999992,205,0
github.csv,1,712,1,712,0,0,23.163493000000017,245,0
github.csv,1,718,1,718,0,0,21.89604600000007,262,0
github.csv,1,712,1,712,0,0,33.752873000000136,168,0
github.csv,1,718,1,718,0,0,32.93796199999997,174,0
github.csv,1,712,1,712,0,0,38.98510400000009,146,0
github.csv,1,718,1,718,0,0,38.18883400000004,150,0
github.csv,1,712,1,712,0,0,9.100729,625,0
github.csv,1,718,1,718,0,0,8.280846999999994,693,0
github.csv,1,712,1,712,0,0,19.62514699999997,290,0
github.csv,1,718,1,718,0,0,18.84944900000005,304,0
github.csv,1,712,1,712,0,0,37.35681199999999,152,0
github.csv,1,718,1,718,0,0,36.59382499999992,156,0
github.csv,1,712,1,712,0,0,24.405422999999928,233,0
github.csv,1,718,1,718,0,0,23.636031000000003,243,0
github.csv,1,712,1,712,0,0,14.110672000000022,403,0
github.csv,1,712,1,712,0,0,26.21955699999989,217,0
github.csv,1,718,1,718,0,0,24.08630099999982,238,0
github.csv,1,712,1,712,0,0,14.297786999999971,398,0
github.csv,1,712,1,712,0,0,16.11239599999999,353,0
github.csv,1,718,1,718,0,0,15.4162359999998,372,0
github.csv,1,712,1,712,0,0,50.56691000000001,112,0
github.csv,1,718,1,718,0,0,49.71048700000006,115,0
github.csv,1,728,1,728,0,0,27.89093600000001,208,0
github.csv,1,724,1,724,0,0,0.0644979999999577,89801,0
github.csv,1,712,1,712,0,0,13.75535100000002,414,0
github.csv,1,718,1,718,0,0,12.877662999999984,446,0
github.csv,1,712,1,712,0,0,10.796452000000045,527,0
github.csv,1,718,1,718,0,0,10.023300999999949,573,0
github.csv,1,712,1,712,0,0,7.855064999999968,725,0
github.csv,1,718,1,718,0,0,6.985919999999851,822,0
github.csv,1,712,1,712,0,0,36.20374600000014,157,0
github.csv,1,718,1,718,0,0,35.44599599999992,162,0
github.csv,1,712,1,712,0,0,2.0743949999996403,2745,0
github.csv,1,718,1,718,0,0,1.3471549999999295,4263,0
github.csv,1,712,1,712,0,0,14.531733999999688,391,0
github.csv,1,718,1,718,0,0,13.780013999999936,416,0
github.csv,1,712,1,712,0,0,18.742201000000023,303,0
github.csv,1,718,1,718,0,0,17.968519000000015,319,0
github.csv,1,712,1,712,0,0,15.60512800000015,365,0
github.csv,1,718,1,718,0,0,14.833937999999762,387,0
google.csv,1,716,1,716,0,0,312.214515,18,0
google.csv,1,728,1,728,0,0,311.389551,18,0
google.csv,1,1286,1,1286,0,0,0.0574560000000019,179058,0
google.csv,1,728,1,728,0,0,0.098436999999997,59164,0
google.csv,1,721,1,721,0,0,0.2847869999999943,20253,0
google.csv,1,716,1,716,0,0,307.252021,18,0
google.csv,1,716,1,716,0,0,170.91631600000002,33,0
google.csv,1,1291,1,1291,0,0,163.68088299999997,63,0
google.csv,1,720,1,720,0,0,21.967849,262,0
google.csv,1,737,1,737,0,0,0.2124440000000049,27753,0
google.csv,1,717,1,717,0,0,0.161433000000045,35531,0
google.csv,1,716,1,716,0,0,269.749515,21,0
google.csv,1,1286,1,1286,0,0,0.2881930000000352,35698,0
google.csv,1,728,1,728,0,0,268.68021400000003,21,0
google.csv,1,728,1,728,0,0,0.0634299999999825,91817,0
google.csv,1,721,1,721,0,0,0.2789859999999748,20674,0
google.csv,1,712,1,712,0,0,266.536926,21,0
google.csv,1,716,1,716,0,0,0.0896060000000034,63924,0
google.csv,2,1381,1,365,1,1016,63.044691,46,128
google.csv,4,4654,1,256,3,4398,0.0907799999999952,22560,387574
google.csv,1,717,1,717,0,0,0.0732439999999314,78313,0
google.csv,1,733,1,733,0,0,0.2583840000000919,22694,0
google.csv,1,716,1,716,0,0,161.99523799999997,35,0
google.csv,1,1286,1,1286,0,0,0.093605000000025,109908,0
google.csv,1,728,1,728,0,0,160.91783599999997,36,0
google.csv,1,728,1,728,0,0,0.0808540000000448,72031,0
google.csv,1,721,1,721,0,0,160.682451,35,0
google.csv,1,716,1,716,0,0,156.9447839999999,36,0
google.csv,1,718,1,718,0,0,0.0676260000000184,84937,0
google.csv,1,716,1,716,0,0,0.0355359999999791,161188,0
google.csv,1,716,1,716,0,0,0.1028129999999691,55712,0
google.csv,1,716,1,716,0,0,136.45644399999992,41,0
google.csv,1,717,1,717,0,0,106.20489499999996,54,0
google.csv,1,733,1,733,0,0,24.539445,238,0
google.csv,1,716,1,716,0,0,264.215163,21,0
google.csv,1,716,1,716,0,0,0.0366060000000061,156477,0
google.csv,1,716,1,716,0,0,0.067105999999967,85357,0
google.csv,1,1286,1,1286,0,0,0.0774270000000569,132873,0
google.csv,1,721,1,721,0,0,0.0654359999999769,88147,0
google.csv,1,721,1,721,0,0,0.22796900000003,25301,0
google.csv,1,718,1,718,0,0,249.86863099999997,22,0
google.csv,1,728,1,728,0,0,248.99155299999995,23,0
google.csv,1,728,1,728,0,0,248.8251939999999,23,0
google.csv,1,717,1,717,0,0,170.25129400000003,33,0
google.csv,1,721,1,721,0,0,170.151976,33,0
google.csv,1,716,1,716,0,0,245.02279900000008,23,0
google.csv,1,730,1,730,0,0,0.3450879999999188,16923,0
google.csv,1,721,1,721,0,0,209.538774,27,0
google.csv,1,716,1,716,0,0,201.45310399999997,28,0
google.csv,1,720,1,720,0,0,0.0633590000001049,90910,0
google.csv,1,737,1,737,0,0,169.535887,34,0
google.csv,1,1300,1,1300,0,0,13.419370000000072,774,0
google.csv,1,716,1,716,0,0,580.7277690000001,9,0
google.csv,1,1286,1,1286,0,0,0.0623410000000603,165027,0
google.csv,1,728,1,728,0,0,579.7976530000001,10,0
google.csv,1,721,1,721,0,0,579.5785930000002,9,0
google.csv,1,728,1,728,0,0,0.0874160000000756,66623,0
google.csv,1,716,1,716,0,0,575.6675220000002,9,0
google.csv,1,716,1,716,0,0,0.0586879999998473,97600,0
google.csv,1,716,1,716,0,0,0.0358639999999468,159714,0
google.csv,1,716,1,716,0,0,0.0420690000000831,136157,0
google.csv,1,716,1,716,0,0,0.037277000000131,153660,0
google.csv,1,716,1,716,0,0,185.19050500000003,30,0
google.csv,1,717,1,717,0,0,170.51230699999996,33,0
google.csv,2,1381,1,365,1,1016,151.86895900000013,19,53
google.csv,4,4654,1,256,3,4398,0.071911,28479,489271
google.csv,1,718,1,718,0,0,110.30805600000008,52,0
google.csv,1,1286,1,1286,0,0,2.1287579999998343,4832,0
google.csv,1,716,1,716,0,0,92.63353899999991,61,0
google.csv,1,716,1,716,0,0,621.3602769999998,9,0
google.csv,1,1286,1,1286,0,0,0.0663580000000365,155037,0
google.csv,1,728,1,728,0,0,620.5287090000002,9,0
google.csv,1,728,1,728,0,0,0.0723700000000917,80475,0
google.csv,1,721,1,721,0,0,0.2653000000000247,21741,0
google.csv,1,730,1,730,0,0,0.3741400000001249,15609,0
google.csv,1,716,1,716,0,0,595.5296129999999,9,0
google.csv,1,1298,1,1298,0,0,271.0054889999999,38,0
google.csv,1,716,1,716,0,0,269.8233889999999,21,0
google.csv,1,716,1,716,0,0,171.86934500000007,33,0
google.csv,1,1291,1,1291,0,0,226.1174109999997,45,0
google.csv,1,719,1,719,0,0,173.5947100000003,33,0
google.csv,1,720,1,720,0,0,170.83696400000008,33,0
google.csv,1,727,1,727,0,0,165.5371230000001,35,0
google.csv,2,1381,1,365,1,1016,130.64764399999967,22,62
google.csv,4,4654,1,256,3,4398,0.0911330000003545,22472,386073
google.csv,1,716,1,716,0,0,95.77121699999998,59,0
google.csv,1,1286,1,1286,0,0,0.0573810000000776,179292,0
